plate,status,title,pageid,source_page,download_url,original_url,original_sha1,download_sha256,normalized_sha256,license,license_url,artist,credit,source_local,width,height
37,downloaded public-domain source; crop unreviewed,File:37 Golden-winged Woodpecker.jpg,8716289,https://commons.wikimedia.org/wiki/File:37_Golden-winged_Woodpecker.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a2/37_Golden-winged_Woodpecker.jpg/1920px-37_Golden-winged_Woodpecker.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/a/a2/37_Golden-winged_Woodpecker.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,6311d4be1de571a0e4b282ea7281af5176726aee,8fc50a073599d67c3f584248f6314a5a2fa1197cc9f98c03d329c5ce1212c7d8,0e3e493dd45c884213c9005825e9c07b4b4e81a06f39ebc3799026ce8a70daa8,Public domain,,John James Audubon,University of Pittsburgh,sources/037.png,1244,1800
38,downloaded public-domain source; crop unreviewed,File:38 Kentucky Warbler.jpg,8716305,https://commons.wikimedia.org/wiki/File:38_Kentucky_Warbler.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/38/38_Kentucky_Warbler.jpg/1920px-38_Kentucky_Warbler.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/3/38/38_Kentucky_Warbler.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,9255f0ae8edd7c3ec6517811db8bd3b31ce470cf,94c0ee0af0095737057c283462b40dab746be6053fe9bf266ff036aadd571f52,e5e7e5bdf601a25b47e40673a9c7dce7de944e129d91d5f96b3fca283bcdea64,Public domain,,John James Audubon,University of Pittsburgh,sources/038.png,1239,1800
39,downloaded public-domain source; crop unreviewed,File:39 Crested Titmouse.jpg,8716324,https://commons.wikimedia.org/wiki/File:39_Crested_Titmouse.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/ab/39_Crested_Titmouse.jpg/1920px-39_Crested_Titmouse.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/a/ab/39_Crested_Titmouse.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,8e0af8adcbdbbe242595fe4386ea69b222632b98,2a7d6d563b03ccff1c7ebb3694860a1ff58ac08e5c54d48d35ae21ad0b472e8b,31f67fd7ab840c77a32c5bbc9a71631c9dc6d2367dd3234cef84349cdf3b5596,Public domain,,John James Audubon,University of Pittsburgh,sources/039.png,1249,1800
40,downloaded public-domain source; crop unreviewed,File:40 American Redstart.jpg,8716372,https://commons.wikimedia.org/wiki/File:40_American_Redstart.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/03/40_American_Redstart.jpg/1920px-40_American_Redstart.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/0/03/40_American_Redstart.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,a1ef92f846a93c8eebe7a4f435576f15a668902c,4739e1fa385acfd78c24ebfda8120b1c7098a644f9037876d869d64f8e5f9586,3161085f61fad3916e6b8e8c18938cfe1b5d9486ef00f8478170e2bdecf9ab89,Public domain,,John James Audubon,University of Pittsburgh,sources/040.png,1237,1800
42,downloaded public-domain source; crop unreviewed,File:42 Orchard Oriole.jpg,8716411,https://commons.wikimedia.org/wiki/File:42_Orchard_Oriole.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/c/cc/42_Orchard_Oriole.jpg/1920px-42_Orchard_Oriole.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/c/cc/42_Orchard_Oriole.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,734064ebe18889d84f33929a9f8166fc1daed7d9,05b3b6f075915855a800fa06b0fff26a27105fb4387d369bdb9676a5f8c8ffe3,f7036e99494a3c6e5c57d32a9eb9470fd99dfdb3d1c6330e49a8addafb6c0254,Public domain,,John James Audubon,University of Pittsburgh,sources/042.png,1249,1800
43,downloaded public-domain source; crop unreviewed,File:43 Cedar Bird.jpg,8716432,https://commons.wikimedia.org/wiki/File:43_Cedar_Bird.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7f/43_Cedar_Bird.jpg/1920px-43_Cedar_Bird.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/7/7f/43_Cedar_Bird.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,d3466e97518503b1d1804b346a74748cf26d3482,0721d9347fd84393be3c80ea1878bde4675961e239be546cac7bac443c1d90bb,cf4604525af30346789a08704aca9b77d056d40165a430ef41f88d2b99e954f8,Public domain,,John James Audubon,University of Pittsburgh,sources/043.png,1249,1800
44,downloaded public-domain source; crop unreviewed,File:44 Summer Red Bird.jpg,8717762,https://commons.wikimedia.org/wiki/File:44_Summer_Red_Bird.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a3/44_Summer_Red_Bird.jpg/1920px-44_Summer_Red_Bird.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/a/a3/44_Summer_Red_Bird.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,dadd4b67b71c27471a8464df8c9126863df18673,88ffb2aded726bac89143c39a89ed4346c33d3c88d1a9bc93545bd0cbee71144,802968f88d313cf54bd3d9201dbfc166f103b351ca87377925abf66fa6ba2e93,Public domain,,John James Audubon,University of Pittsburgh,sources/044.png,1245,1800
47,downloaded public-domain source; crop unreviewed,File:47 Ruby-throated Humming Bird.jpg,8717785,https://commons.wikimedia.org/wiki/File:47_Ruby-throated_Humming_Bird.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d2/47_Ruby-throated_Humming_Bird.jpg/1920px-47_Ruby-throated_Humming_Bird.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/d/d2/47_Ruby-throated_Humming_Bird.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,a3b4296d7d3a9cee4cd36d04f870a691ba93bd66,42f8af4a56e71045fb10d5a66302d61af209539184926b7044d66fdc4bc8077a,3f053724fc050a90b3ddb8fd8e5250b5e4af21f21229f76136689206c0576fe9,Public domain,,John James Audubon,University of Pittsburgh,sources/047.png,1245,1800
51,downloaded public-domain source; crop unreviewed,File:51 Red-tailed Hawk.jpg,8732691,https://commons.wikimedia.org/wiki/File:51_Red-tailed_Hawk.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/a/a8/51_Red-tailed_Hawk.jpg/1920px-51_Red-tailed_Hawk.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/a/a8/51_Red-tailed_Hawk.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,eae478eba0b692c9b2d8cb42d0a0092fbf7eabb2,1ebbeb389bfb422858be1001b02e3a22e8b02478eb3517d68fbd162fd3762619,807a001c5cd8bc1ec76ecfd66c3877775a2e0e900722e165cce09810dc964119,Public domain,,John James Audubon,University of Pittsburgh,sources/051.png,1248,1800
52,downloaded public-domain source; crop unreviewed,File:52 Chuck-will's Widow.jpg,8717829,https://commons.wikimedia.org/wiki/File:52_Chuck-will%27s_Widow.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/03/52_Chuck-will%27s_Widow.jpg/1920px-52_Chuck-will%27s_Widow.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://upload.wikimedia.org/wikipedia/commons/0/03/52_Chuck-will%27s_Widow.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,b9ea7ea873200c1593114b1db04b916c8890460b,38c0618b534ed6df034e3254332beb63ca23072a5872933a751afd8c928baa4b,db5f49fc4b7f4b54153597f5ed197eee7bb74be899c64225f9cf1751edb0e07f,Public domain,,John James Audubon,University of Pittsburgh,sources/052.png,1249,1800
