artist,asset,candidate,candidate_score,common,credit,key,license,rank,scientific,source,status,url
,,,,Scaly-breasted Munia,,lonchura-punctulata,,129,Lonchura punctulata,,missing-source,
,,,,Pacific Loon,,gavia-pacifica,,130,Gavia pacifica,,missing-source,
,gavia-immer.webp,,,Common Loon,,gavia-immer,,131,Gavia immer,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVNorthern_Diver.jpg
,,,,Least Grebe,,tachybaptus-dominicus,,132,Tachybaptus dominicus,,missing-source,
,podiceps-auritus.webp,,,Horned Grebe,,podiceps-auritus,,133,Podiceps auritus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVHorned_Grebe.jpg
,podiceps-nigricollis.webp,,,Eared Grebe,,podiceps-nigricollis,,134,Podiceps nigricollis,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVEared_Grebe.jpg
,,,,Western Grebe,,aechmophorus-occidentalis,,135,Aechmophorus occidentalis,,missing-source,
,,,,Anhinga,,anhinga-anhinga,,136,Anhinga anhinga,,missing-source,
,,,,Magnificent Frigatebird,,fregata-magnificens,,137,Fregata magnificens,,missing-source,
,botaurus-lentiginosus.webp,,,American Bittern,,botaurus-lentiginosus,,138,Botaurus lentiginosus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVAmerican_Bittern.jpg
,,,,Least Bittern,,botaurus-exilis,,139,Botaurus exilis,,missing-source,
,,,,Little Blue Heron,,egretta-caerulea,,140,Egretta caerulea,,missing-source,
,,,,Tricolored Heron,,egretta-tricolor,,141,Egretta tricolor,,missing-source,
,,,,Reddish Egret,,egretta-rufescens,,142,Egretta rufescens,,missing-source,
,nycticorax-nycticorax.webp,,,Black-crowned Night-Heron,,nycticorax-nycticorax,,144,Nycticorax nycticorax,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVCommon_Night_Heron.jpg
