artist,asset,candidate,candidate_score,common,credit,key,license,rank,scientific,source,status,url
,aix-galericulata.webp,,,Mandarin Duck,,aix-galericulata,,478,Aix galericulata,dorbigny,existing,https://commons.wikimedia.org/wiki/File%3AAix_galericulata%28Mandarin_duck%29%2C_Pelecanus_%28Pelican%29.jpg
,,,,Falcated Duck,,mareca-falcata,,479,Mareca falcata,,missing-source,
,,,,Mexican Duck,,anas-diazi,,480,Anas diazi,,missing-source,
,,,,Helmeted Guineafowl,,numida-meleagris,,481,Numida meleagris,,missing-source,
,,,,California Quail,,callipepla-californica,,482,Callipepla californica,,missing-source,
,,,,Greater Prairie-Chicken,,tympanuchus-cupido,,483,Tympanuchus cupido,,missing-source,
,,,,Golden Pheasant,,chrysolophus-pictus,,484,Chrysolophus pictus,,missing-source,
,,,,Indian Peafowl,,pavo-cristatus,,485,Pavo cristatus,,missing-source,
,,,,Red Junglefowl,,gallus-gallus,,486,Gallus gallus,,missing-source,
,,,,Chukar,,alectoris-chukar,,487,Alectoris chukar,,missing-source,
,,,,African Collared-Dove,,streptopelia-roseogrisea,,488,Streptopelia roseogrisea,,missing-source,
,,,,Mangrove Cuckoo,,coccyzus-minor,,489,Coccyzus minor,,missing-source,
,,,,Limpkin,,aramus-guarauna,,490,Aramus guarauna,,missing-source,
,,,,American Oystercatcher,,haematopus-palliatus,,491,Haematopus palliatus,,missing-source,
,,,,American Flamingo,,phoenicopterus-ruber,,492,Phoenicopterus ruber,,missing-source,
,,,,Red-billed Tropicbird,,phaethon-aethereus,,493,Phaethon aethereus,,missing-source,
,,,,Jabiru,,jabiru-mycteria,,494,Jabiru mycteria,,missing-source,
,,,,Brown Booby,,sula-leucogaster,,495,Sula leucogaster,,missing-source,
,,,,Snail Kite,,rostrhamus-sociabilis,,496,Rostrhamus sociabilis,,missing-source,
,,,,Flammulated Owl,,psiloscops-flammeolus,,497,Psiloscops flammeolus,,missing-source,
,,,,Western Red-billed Hornbill,,tockus-kempi,,498,Tockus kempi,,missing-source,
,,,,Red-cockaded Woodpecker,,leuconotopicus-borealis,,499,Leuconotopicus borealis,,missing-source,
,,,,Yellow-headed Caracara,,daptrius-chimachima,,501,Daptrius chimachima,,missing-source,
,,,,Cockatiel,,nymphicus-hollandicus,,502,Nymphicus hollandicus,,missing-source,
,psittacula-krameri.webp,,,Rose-ringed Parakeet,,psittacula-krameri,,503,Psittacula krameri,keulemans,existing,https://upload.wikimedia.org/wikipedia/commons/3/38/Keulemans_Onze_vogels_3_09.jpg
,,,,Budgerigar,,melopsittacus-undulatus,,504,Melopsittacus undulatus,,missing-source,
,,,,Rosy-faced Lovebird,,agapornis-roseicollis,,505,Agapornis roseicollis,,missing-source,
,,,,White-winged Parakeet,,brotogeris-versicolurus,,507,Brotogeris versicolurus,,missing-source,
,,,,Yellow-chevroned Parakeet,,brotogeris-chiriri,,508,Brotogeris chiriri,,missing-source,
,,,,Hyacinth Macaw,,anodorhynchus-hyacinthinus,,510,Anodorhynchus hyacinthinus,,missing-source,
,,,,Nanday Parakeet,,aratinga-nenday,,511,Aratinga nenday,,missing-source,
,,,,Blue-and-yellow Macaw,,ara-ararauna,,512,Ara ararauna,,missing-source,
,,,,Blue-crowned Parakeet,,thectocercus-acuticaudatus,,513,Thectocercus acuticaudatus,,missing-source,
,,,,Green Parakeet,,psittacara-holochlorus,,514,Psittacara holochlorus,,missing-source,
,,,,Mitred Parakeet,,psittacara-mitratus,,515,Psittacara mitratus,,missing-source,
,,,,Red-masked Parakeet,,psittacara-erythrogenys,,516,Psittacara erythrogenys,,missing-source,
,,,,Greater Pewee,,contopus-pertinax,,517,Contopus pertinax,,missing-source,
,,,,Piratic Flycatcher,,legatus-leucophaius,,518,Legatus leucophaius,,missing-source,
,,,,Tropical Kingbird,,tyrannus-melancholicus,,519,Tyrannus melancholicus,,missing-source,
,,,,Cassin's Vireo,,vireo-cassinii,,520,Vireo cassinii,,missing-source,
,,,,Black-whiskered Vireo,,vireo-altiloquus,,521,Vireo altiloquus,,missing-source,
,,,,Red-whiskered Bulbul,,pycnonotus-jocosus,,522,Pycnonotus jocosus,,missing-source,
,,,,Northern Red Bishop,,euplectes-franciscanus,,523,Euplectes franciscanus,,missing-source,
,,,,Bronze Mannikin,,spermestes-cucullata,,524,Spermestes cucullata,,missing-source,
,,,,Indian Silverbill,,euodice-malabarica,,525,Euodice malabarica,,missing-source,
,,,,Orange-cheeked Waxbill,,estrilda-melpoda,,526,Estrilda melpoda,,missing-source,
,,,,Black-rumped Waxbill,,estrilda-troglodytes,,527,Estrilda troglodytes,,missing-source,
,,,,Pin-tailed Whydah,,vidua-macroura,,528,Vidua macroura,,missing-source,
,carduelis-carduelis.webp,,,European Goldfinch,,carduelis-carduelis,,529,Carduelis carduelis,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIIIGoldfinch.jpg
,,,,Island Canary,,serinus-canaria,,530,Serinus canaria,,missing-source,
,,,,Seaside Sparrow,,ammospiza-maritima,,531,Ammospiza maritima,,missing-source,
,,,,Tropical Parula,,setophaga-pitiayumi,,532,Setophaga pitiayumi,,missing-source,
John Gerrard Keulemans,setophaga-graciae.webp,File:Setophaga graciae decora 1902.jpg,310,Grace's Warbler,Biologia Centrali-Americana,setophaga-graciae,Public domain,533,Setophaga graciae,keulemans,generated,https://commons.wikimedia.org/wiki/File:Setophaga_graciae_decora_1902.jpg
R. Bruce Horsfall,myioborus-pictus.webp,File:Bird-Lore-5-6 0203.png,260,Painted Redstart,The Internet Archive,myioborus-pictus,Public domain,534,Myioborus pictus,commons-pd,generated,https://commons.wikimedia.org/wiki/File:Bird-Lore-5-6_0203.png
